TAG,Inicio,Target_4H,Duracao_Ciclo_Minutos,Hora_Inicio,Dia_Semana,Sintomas_Ultimas_24H,Sintomas_Ultimas_4H,Sintomas_Ultimas_2H,Razao_Agravamento_4H,Aceleracao_Aguda_2H
CA65902,2025-03-30 13:00:00,0,14.5,13,6,0.0,0.0,0.0,0.0,0.0
CA65909,2025-06-08 02:00:00,0,60.0,2,6,647.0,97.0,40.0,0.14992271,0.41237113
CA65934,2025-03-17 16:34:03,0,25.95,16,0,0.0,0.0,0.0,0.0,0.0
CA65921,2025-04-30 21:00:00,0,10.966666,21,2,908.0,158.0,78.0,0.17400882,0.49367088
CA65925,2025-06-08 14:00:00,0,60.0,14,6,2120.0,405.0,184.0,0.19103773,0.454321
CA65924,2025-04-16 00:00:06,0,4.7166667,0,2,1431.0,222.0,112.0,0.15513627,0.5045045
CA65922,2025-02-28 14:31:20,0,28.666666,14,4,0.0,0.0,0.0,0.0,0.0
CA65922,2025-05-06 02:32:28,0,1.3333334,2,1,844.0,183.0,118.0,0.21682465,0.64480877
PE3799,2025-06-28 21:00:00,0,60.0,21,5,41015.0,10657.0,5670.0,0.25983176,0.53204465
PE3799,2025-03-25 01:56:41,0,3.3166666,1,1,0.0,0.0,0.0,0.0,0.0
CA65915,2025-02-09 15:00:00,0,60.0,15,6,0.0,0.0,0.0,0.0,0.0
CA65921,2025-06-07 22:00:00,0,60.0,22,5,945.0,157.0,76.0,0.16613756,0.48407644
PE3796,2025-05-20 10:00:00,0,35.416668,10,1,44607.0,9771.0,4640.0,0.21904634,0.47487462
PE3782,2025-01-19 01:00:00,0,60.0,1,6,0.0,0.0,0.0,0.0,0.0
CA5926,2025-02-15 06:00:00,0,5.4333334,6,5,0.0,0.0,0.0,0.0,0.0
CA65936,2025-03-20 06:00:00,0,60.0,6,3,0.0,0.0,0.0,0.0,0.0
CA65790,2025-06-02 06:18:59,0,41.016666,6,0,1212.0,220.0,114.0,0.18151815,0.5181818
CA65925,2025-01-13 23:00:00,0,37.65,23,0,0.0,0.0,0.0,0.0,0.0
CA65928,2025-03-04 10:19:22,0,40.633335,10,1,0.0,0.0,0.0,0.0,0.0
CA65937,2025-03-27 06:00:00,0,16.816668,6,3,0.0,0.0,0.0,0.0,0.0
CA65931,2025-02-27 03:14:00,0,1.0666667,3,3,0.0,0.0,0.0,0.0,0.0
CA65928,2025-03-18 23:18:52,0,6.0833335,23,1,0.0,0.0,0.0,0.0,0.0
CA65789,2025-02-05 04:17:43,0,42.283333,4,2,0.0,0.0,0.0,0.0,0.0
CA5927,2025-02-03 04:00:00,0,60.0,4,0,0.0,0.0,0.0,0.0,0.0
CA65916,2025-05-29 03:00:00,0,60.0,3,3,0.0,0.0,0.0,0.0,0.0
PE3785,2025-06-30 02:00:00,0,60.0,2,0,0.0,0.0,0.0,0.0,0.0
PE3799,2025-05-30 13:00:00,0,60.0,13,4,41015.0,10657.0,5670.0,0.25983176,0.53204465
CA65933,2025-01-11 11:20:22,0,5.3333335,11,5,0.0,0.0,0.0,0.0,0.0
CA65932,2025-01-18 00:52:02,0,0.73333335,0,5,0.0,0.0,0.0,0.0,0.0
CA65935,2025-02-22 21:42:02,0,17.966667,21,5,0.0,0.0,0.0,0.0,0.0
PE3788,2025-05-25 15:00:00,0,60.0,15,6,0.0,0.0,0.0,0.0,0.0
CA65793,2025-03-28 10:00:00,0,60.0,10,4,0.0,0.0,0.0,0.0,0.0
CA65922,2025-06-29 05:00:00,0,60.0,5,6,844.0,183.0,118.0,0.21682465,0.64480877
CA65902,2025-03-07 07:03:23,0,25.366667,7,4,0.0,0.0,0.0,0.0,0.0
CA65935,2025-06-19 12:12:17,0,0.35,12,3,912.0,156.0,82.0,0.17105263,0.525641
CA65919,2025-02-05 06:00:00,0,60.0,6,2,0.0,0.0,0.0,0.0,0.0
CA65930,2025-05-15 22:00:00,0,60.0,22,3,802.0,102.0,28.0,0.12718205,0.27450982
CA65921,2025-04-04 15:00:00,0,60.0,15,4,275.0,61.0,35.0,0.22181818,0.57377046
CA5927,2025-06-16 17:00:00,0,25.283333,17,0,398.0,65.0,39.0,0.16331658,0.6
CA65934,2025-03-17 15:22:59,0,20.933332,15,0,0.0,0.0,0.0,0.0,0.0
CA5927,2025-06-08 11:00:00,0,20.233334,11,6,398.0,65.0,39.0,0.16331658,0.6
CA65928,2025-06-10 13:59:49,0,0.18333334,13,1,1511.0,258.0,148.0,0.17074785,0.5736434
CA65929,2025-02-02 04:51:26,0,8.566667,4,6,0.0,0.0,0.0,0.0,0.0
CA65792,2025-02-01 18:26:49,0,3.4166667,18,5,0.0,0.0,0.0,0.0,0.0
CA65921,2025-04-22 18:07:46,0,52.233334,18,1,1037.0,174.0,77.0,0.16779171,0.44252872
PE3798,2025-01-16 09:57:11,0,2.8166666,9,3,0.0,0.0,0.0,0.0,0.0
CA65937,2025-04-21 05:00:00,1,7.383333,5,0,372.0,92.0,58.0,0.24731183,0.6304348
CA65924,2025-06-22 03:48:25,0,7.0833335,3,6,953.0,43.0,29.0,0.04512067,0.6744186
CA0000,2025-05-10 01:00:00,0,60.0,1,5,0.0,0.0,0.0,0.0,0.0
CA65792,2025-04-06 14:00:00,0,36.033333,14,6,706.0,101.0,51.0,0.14305949,0.5049505
CA65921,2025-04-01 15:52:42,1,7.3,15,1,132.0,5.0,5.0,0.03787879,1.0
PE3784,2025-02-05 04:00:00,0,60.0,4,2,0.0,0.0,0.0,0.0,0.0
CA65915,2025-04-05 09:28:49,0,18.55,9,5,295.0,36.0,25.0,0.1220339,0.6944444
CA65927,2025-03-19 13:27:18,0,1.6666666,13,2,0.0,0.0,0.0,0.0,0.0
CA65931,2025-04-21 04:08:36,0,6.983333,4,0,1263.0,222.0,95.0,0.17577197,0.42792794
PE3798,2025-02-06 22:11:40,0,17.05,22,3,0.0,0.0,0.0,0.0,0.0
CA65933,2025-05-23 18:14:03,0,0.5833333,18,4,247.0,88.0,43.0,0.3562753,0.48863637
PE3798,2025-06-04 23:00:00,0,12.7,23,2,9543.0,150.0,67.0,0.015718328,0.44666666
PE3795,2025-04-20 18:00:00,0,60.0,18,6,57552.0,16571.0,7510.0,0.2879309,0.45320138
CA65930,2025-01-04 06:16:09,0,1.4666667,6,5,0.0,0.0,0.0,0.0,0.0
CA65918,2025-03-26 07:00:00,0,60.0,7,2,0.0,0.0,0.0,0.0,0.0
CA65937,2025-04-29 23:00:00,0,18.25,23,1,655.0,115.0,42.0,0.17557251,0.3652174
CA0000,2025-03-16 08:00:00,0,60.0,8,6,0.0,0.0,0.0,0.0,0.0
CA65933,2025-04-26 00:00:00,0,40.45,0,5,625.0,81.0,38.0,0.1296,0.4691358
CA65936,2025-06-16 14:09:07,0,1.6,14,0,1501.0,262.0,121.0,0.1745503,0.46183205
CA65937,2025-06-28 14:54:05,0,5.9166665,14,5,526.0,81.0,41.0,0.1539924,0.50617284
CA5926,2025-03-15 10:39:15,0,0.38333333,10,5,0.0,0.0,0.0,0.0,0.0
CA65923,2025-03-08 23:00:00,0,60.0,23,5,0.0,0.0,0.0,0.0,0.0
PE3783,2025-05-12 23:00:00,0,60.0,23,0,0.0,0.0,0.0,0.0,0.0
CA65927,2025-02-14 15:46:38,0,4.1,15,4,0.0,0.0,0.0,0.0,0.0
CA65931,2025-06-18 04:57:37,0,2.3833334,4,2,2496.0,672.0,53.0,0.26923078,0.078869045
PE3796,2025-01-12 23:58:25,0,1.5833334,23,6,0.0,0.0,0.0,0.0,0.0
CA65790,2025-01-19 08:06:54,0,0.6166667,8,6,0.0,0.0,0.0,0.0,0.0
CA65927,2025-06-06 14:00:00,0,3.5333333,14,4,310.0,74.0,42.0,0.23870967,0.5675676
CA65936,2025-06-15 10:55:25,0,4.5833335,10,6,1501.0,262.0,121.0,0.1745503,0.46183205
PE3784,2025-03-09 13:00:00,0,60.0,13,6,0.0,0.0,0.0,0.0,0.0
CA65789,2025-02-06 13:18:21,0,28.25,13,3,0.0,0.0,0.0,0.0,0.0
CA65790,2025-02-05 15:44:57,0,3.3666666,15,2,0.0,0.0,0.0,0.0,0.0
PE3785,2025-01-25 09:00:00,0,60.0,9,5,0.0,0.0,0.0,0.0,0.0
CA65909,2025-06-19 11:28:28,0,0.06666667,11,3,647.0,97.0,40.0,0.14992271,0.41237113
CA65936,2025-02-26 05:00:00,0,29.633333,5,2,0.0,0.0,0.0,0.0,0.0
CA65908,2025-01-29 13:45:41,0,14.316667,13,2,0.0,0.0,0.0,0.0,0.0
CA65937,2025-03-03 14:02:21,0,9.55,14,0,0.0,0.0,0.0,0.0,0.0
CA65792,2025-05-16 07:18:52,0,10.6,7,4,300.0,86.0,37.0,0.28666666,0.43023255
PE3797,2025-01-25 14:43:28,0,16.533333,14,5,0.0,0.0,0.0,0.0,0.0
CA65931,2025-01-15 22:00:00,0,60.0,22,2,0.0,0.0,0.0,0.0,0.0
CA65908,2025-03-31 09:20:51,0,1.4833333,9,0,0.0,0.0,0.0,0.0,0.0
CA65915,2025-03-07 08:00:00,0,24.616667,8,4,0.0,0.0,0.0,0.0,0.0
CA65930,2025-04-05 22:24:44,0,17.766666,22,5,625.0,96.0,26.0,0.1536,0.27083334
CA65932,2025-02-22 18:34:25,0,6.2833333,18,5,0.0,0.0,0.0,0.0,0.0
CA65925,2025-04-19 08:36:16,0,23.733334,8,5,612.0,126.0,71.0,0.20588236,0.56349206
PE3784,2025-06-27 06:00:00,0,60.0,6,4,0.0,0.0,0.0,0.0,0.0
CA65790,2025-03-17 20:00:00,0,60.0,20,0,0.0,0.0,0.0,0.0,0.0
CA65932,2025-03-19 00:00:00,0,6.0666666,0,2,0.0,0.0,0.0,0.0,0.0
CA65923,2025-03-10 03:44:03,0,0.36666667,3,0,0.0,0.0,0.0,0.0,0.0
CA65931,2025-02-27 22:22:22,0,6.983333,22,3,0.0,0.0,0.0,0.0,0.0
CA65909,2025-01-22 13:00:00,0,60.0,13,2,0.0,0.0,0.0,0.0,0.0
PE3796,2025-05-28 15:00:00,0,60.0,15,2,44607.0,9771.0,4640.0,0.21904634,0.47487462
CA65928,2025-06-07 19:11:13,0,1.2333333,19,5,1511.0,258.0,148.0,0.17074785,0.5736434
CA65933,2025-04-02 07:36:48,1,22.833334,7,2,492.0,110.0,91.0,0.22357723,0.8272727
PE3785,2025-03-12 09:00:00,0,60.0,9,2,0.0,0.0,0.0,0.0,0.0
CA65927,2025-06-03 20:00:00,0,60.0,20,1,310.0,74.0,42.0,0.23870967,0.5675676
CA65916,2025-04-18 12:00:00,0,60.0,12,4,0.0,0.0,0.0,0.0,0.0
CA65927,2025-05-10 14:29:35,0,30.416666,14,5,310.0,74.0,42.0,0.23870967,0.5675676
CA65922,2025-05-15 19:07:10,0,4.0333333,19,3,844.0,183.0,118.0,0.21682465,0.64480877
CA5927,2025-01-30 22:33:57,0,1.7666667,22,3,0.0,0.0,0.0,0.0,0.0
CA65937,2025-05-25 00:53:25,0,2.9333334,0,6,526.0,81.0,41.0,0.1539924,0.50617284
PE3788,2025-01-05 22:00:00,0,60.0,22,6,0.0,0.0,0.0,0.0,0.0
PE3795,2025-06-01 09:00:00,0,51.333332,9,6,76095.0,14279.0,6081.0,0.18764701,0.42587015
CA65931,2025-03-26 16:00:00,0,60.0,16,2,0.0,0.0,0.0,0.0,0.0
CA65901,2025-02-15 07:00:00,0,60.0,7,5,0.0,0.0,0.0,0.0,0.0
PE3785,2025-04-01 03:00:00,0,60.0,3,1,0.0,0.0,0.0,0.0,0.0
CA65916,2025-01-15 15:00:00,0,60.0,15,2,0.0,0.0,0.0,0.0,0.0
CA65935,2025-01-27 08:00:00,0,60.0,8,0,0.0,0.0,0.0,0.0,0.0
CA65918,2025-02-04 20:00:00,0,60.0,20,1,0.0,0.0,0.0,0.0,0.0
CA65933,2025-04-23 16:05:41,0,0.016666668,16,2,596.0,91.0,41.0,0.15268457,0.45054945
PE3783,2025-05-27 12:00:00,0,60.0,12,1,0.0,0.0,0.0,0.0,0.0
CA65934,2025-05-30 10:50:34,0,1.3166667,10,4,536.0,37.0,28.0,0.06902985,0.7567568
CA65936,2025-06-21 05:00:00,0,60.0,5,5,1501.0,262.0,121.0,0.1745503,0.46183205
CA65933,2025-04-12 23:20:35,0,3.5333333,23,5,291.0,49.0,39.0,0.16838488,0.79591835
CA65921,2025-04-15 11:00:00,0,60.0,11,1,1755.0,242.0,156.0,0.13789174,0.6446281
CA65931,2025-03-28 00:55:48,0,4.2,0,4,0.0,0.0,0.0,0.0,0.0
PE3796,2025-01-13 02:59:51,0,0.15,2,0,0.0,0.0,0.0,0.0,0.0
CA65931,2025-06-26 05:00:00,0,47.45,5,3,2496.0,672.0,53.0,0.26923078,0.078869045
CA65922,2025-05-07 23:00:00,0,53.033333,23,2,844.0,183.0,118.0,0.21682465,0.64480877
CA65916,2025-03-28 15:00:00,0,60.0,15,4,0.0,0.0,0.0,0.0,0.0
CA65792,2025-02-20 13:41:38,0,18.366667,13,3,0.0,0.0,0.0,0.0,0.0
CA65909,2025-06-17 05:19:33,0,27.333334,5,1,647.0,97.0,40.0,0.14992271,0.41237113
CA65936,2025-05-21 13:08:24,0,11.983334,13,2,1501.0,262.0,121.0,0.1745503,0.46183205
CA65925,2025-05-01 10:00:00,0,60.0,10,3,2120.0,405.0,184.0,0.19103773,0.454321
CA65935,2025-06-05 15:00:00,0,19.166666,15,3,912.0,156.0,82.0,0.17105263,0.525641
PE3798,2025-03-24 18:00:00,0,14.083333,18,0,0.0,0.0,0.0,0.0,0.0
CA5927,2025-02-18 21:00:00,0,60.0,21,1,0.0,0.0,0.0,0.0,0.0
CA65937,2025-06-01 14:00:00,0,1.6,14,6,526.0,81.0,41.0,0.1539924,0.50617284
CA65920,2025-04-22 01:00:00,0,60.0,1,1,0.0,0.0,0.0,0.0,0.0
PE3799,2025-01-20 10:00:00,0,60.0,10,0,0.0,0.0,0.0,0.0,0.0
PE3783,2025-05-10 08:00:00,0,60.0,8,5,0.0,0.0,0.0,0.0,0.0
CA65930,2025-06-18 02:36:57,0,4.7,2,2,802.0,102.0,28.0,0.12718205,0.27450982
CA65934,2025-01-22 18:12:34,0,4.3333335,18,2,0.0,0.0,0.0,0.0,0.0
CA65924,2025-06-18 00:16:02,0,10.066667,0,2,953.0,43.0,29.0,0.04512067,0.6744186
CA65908,2025-03-01 16:36:14,0,23.766666,16,5,0.0,0.0,0.0,0.0,0.0
CA65929,2025-05-04 09:00:00,0,56.783333,9,6,850.0,133.0,63.0,0.15647058,0.47368422
CA65926,2025-05-10 22:00:00,0,60.0,22,5,668.0,132.0,66.0,0.19760479,0.5
PE3795,2025-06-22 01:55:20,0,4.6666665,1,6,76095.0,14279.0,6081.0,0.18764701,0.42587015
PE3785,2025-03-16 11:00:00,0,60.0,11,6,0.0,0.0,0.0,0.0,0.0
CA65792,2025-05-12 05:41:53,0,3.2166667,5,0,300.0,86.0,37.0,0.28666666,0.43023255
PE3798,2025-04-07 22:13:28,0,46.533333,22,0,48468.0,9099.0,4479.0,0.18773212,0.4922519
PE3798,2025-02-13 13:00:00,0,60.0,13,3,0.0,0.0,0.0,0.0,0.0
CA65933,2025-01-19 09:57:57,0,2.05,9,6,0.0,0.0,0.0,0.0,0.0
CA65923,2025-01-20 00:51:29,0,8.516666,0,0,0.0,0.0,0.0,0.0,0.0
CA65919,2025-05-07 21:00:00,0,60.0,21,2,0.0,0.0,0.0,0.0,0.0
CA65925,2025-03-04 07:00:00,0,41.383335,7,1,0.0,0.0,0.0,0.0,0.0
CA65931,2025-05-23 12:52:11,0,7.8166666,12,4,2496.0,672.0,53.0,0.26923078,0.078869045
CA65928,2025-04-28 01:54:40,0,5.3333335,1,0,1511.0,263.0,123.0,0.17405692,0.4676806
CA65908,2025-03-13 18:06:50,0,33.05,18,3,0.0,0.0,0.0,0.0,0.0
CA65931,2025-01-03 04:36:22,0,10.4,4,4,0.0,0.0,0.0,0.0,0.0
CA65927,2025-01-16 21:00:00,0,6.233333,21,3,0.0,0.0,0.0,0.0,0.0
PE3796,2025-03-28 12:09:28,0,0.78333336,12,4,0.0,0.0,0.0,0.0,0.0
PE3799,2025-04-10 05:00:00,0,2.0166667,5,3,51371.0,8713.0,5107.0,0.16960931,0.5861357
PE3797,2025-06-07 04:00:00,0,48.85,4,5,56544.0,12618.0,7023.0,0.22315365,0.55658585
CA65931,2025-05-27 00:00:00,0,30.216667,0,1,2496.0,672.0,53.0,0.26923078,0.078869045
CA65929,2025-05-09 05:00:00,0,40.683334,5,4,850.0,133.0,63.0,0.15647058,0.47368422
CA65937,2025-06-04 01:06:57,0,53.05,1,2,526.0,81.0,41.0,0.1539924,0.50617284
CA65790,2025-02-08 22:00:00,0,23.666666,22,5,0.0,0.0,0.0,0.0,0.0
CA65927,2025-06-11 07:00:00,0,60.0,7,2,310.0,74.0,42.0,0.23870967,0.5675676
CA65921,2025-06-09 12:00:00,0,32.35,12,0,945.0,157.0,76.0,0.16613756,0.48407644
PE3796,2025-06-20 15:08:30,0,11.866667,15,4,44607.0,9771.0,4640.0,0.21904634,0.47487462
CA65908,2025-03-02 16:00:00,0,60.0,16,6,0.0,0.0,0.0,0.0,0.0
PE3799,2025-05-24 12:07:17,0,31.966667,12,5,41015.0,10657.0,5670.0,0.25983176,0.53204465
CA65930,2025-06-17 13:40:04,0,8.383333,13,1,802.0,102.0,28.0,0.12718205,0.27450982
PE3797,2025-01-09 07:48:21,0,5.2,7,3,0.0,0.0,0.0,0.0,0.0
CA65933,2025-01-14 16:53:45,0,6.25,16,1,0.0,0.0,0.0,0.0,0.0
CA65934,2025-04-23 08:07:02,0,6.6,8,2,297.0,54.0,25.0,0.18181819,0.46296296
PE3783,2025-04-28 03:00:00,0,60.0,3,0,0.0,0.0,0.0,0.0,0.0
CA65931,2025-01-25 13:00:00,0,48.466667,13,5,0.0,0.0,0.0,0.0,0.0
PE3788,2025-03-14 21:00:00,0,60.0,21,4,0.0,0.0,0.0,0.0,0.0
CA65922,2025-02-02 14:00:00,0,13.95,14,6,0.0,0.0,0.0,0.0,0.0
CA65935,2025-04-18 21:26:19,0,33.683334,21,4,272.0,42.0,22.0,0.15441176,0.52380955
CA65933,2025-01-22 05:51:02,0,8.966666,5,2,0.0,0.0,0.0,0.0,0.0
CA5927,2025-05-29 11:35:25,0,5.6,11,3,398.0,65.0,39.0,0.16331658,0.6
CA65915,2025-04-01 01:38:31,0,7.6833334,1,1,10.0,10.0,10.0,1.0,1.0
CA65927,2025-03-07 12:53:03,0,6.95,12,4,0.0,0.0,0.0,0.0,0.0
PE3797,2025-03-19 14:00:00,0,2.8166666,14,2,0.0,0.0,0.0,0.0,0.0
CA65921,2025-03-25 02:25:00,0,20.466667,2,1,0.0,0.0,0.0,0.0,0.0
PE3784,2025-01-25 22:00:00,0,60.0,22,5,0.0,0.0,0.0,0.0,0.0
PE3797,2025-04-12 00:39:05,0,20.916666,0,5,35491.0,8284.0,3551.0,0.23341128,0.42865765
CA65924,2025-06-10 10:50:16,0,6.8333335,10,1,953.0,43.0,29.0,0.04512067,0.6744186
CA65792,2025-03-17 19:51:30,0,2.85,19,0,0.0,0.0,0.0,0.0,0.0
CA65934,2025-05-16 20:00:00,0,60.0,20,4,536.0,37.0,28.0,0.06902985,0.7567568
CA65915,2025-03-10 21:34:12,0,4.3166666,21,0,0.0,0.0,0.0,0.0,0.0
CA65925,2025-03-21 05:00:00,0,60.0,5,4,0.0,0.0,0.0,0.0,0.0
CA65790,2025-06-14 11:06:16,0,24.066668,11,5,1212.0,220.0,114.0,0.18151815,0.5181818
CA65925,2025-05-27 04:00:00,0,60.0,4,1,2120.0,405.0,184.0,0.19103773,0.454321
CA65909,2025-03-02 01:00:00,0,60.0,1,6,0.0,0.0,0.0,0.0,0.0
CA65934,2025-06-05 03:00:00,0,10.216666,3,3,536.0,37.0,28.0,0.06902985,0.7567568
CA65926,2025-01-30 08:00:00,0,24.266666,8,3,0.0,0.0,0.0,0.0,0.0
PE3799,2025-01-17 01:29:27,0,10.55,1,4,0.0,0.0,0.0,0.0,0.0
CA65926,2025-01-13 22:33:38,0,4.25,22,0,0.0,0.0,0.0,0.0,0.0
CA65930,2025-02-08 16:54:58,0,0.083333336,16,5,0.0,0.0,0.0,0.0,0.0
CA65937,2025-01-11 05:00:00,0,1.6166667,5,5,0.0,0.0,0.0,0.0,0.0
CA65790,2025-01-11 08:29:54,0,30.1,8,5,0.0,0.0,0.0,0.0,0.0
CA65926,2025-06-15 15:00:02,0,40.616665,15,6,668.0,132.0,66.0,0.19760479,0.5
CA65929,2025-02-08 16:11:30,0,48.5,16,5,0.0,0.0,0.0,0.0,0.0
PE3796,2025-06-10 13:00:00,0,60.0,13,1,44607.0,9771.0,4640.0,0.21904634,0.47487462
CA65933,2025-04-15 09:00:00,0,15.683333,9,1,325.0,66.0,27.0,0.20307693,0.4090909
CA65929,2025-03-25 21:53:10,0,6.8333335,21,1,0.0,0.0,0.0,0.0,0.0
CA65934,2025-06-19 11:58:49,0,1.1833333,11,3,536.0,37.0,28.0,0.06902985,0.7567568
CA65922,2025-01-19 08:11:33,0,0.1,8,6,0.0,0.0,0.0,0.0,0.0
CA5926,2025-01-18 22:41:26,0,1.7166667,22,5,0.0,0.0,0.0,0.0,0.0
CA65919,2025-04-24 05:00:00,0,60.0,5,3,0.0,0.0,0.0,0.0,0.0
CA65927,2025-05-24 11:43:44,0,16.266666,11,5,310.0,74.0,42.0,0.23870967,0.5675676
PE3796,2025-03-08 06:00:00,0,60.0,6,5,0.0,0.0,0.0,0.0,0.0
CA65928,2025-04-01 18:00:00,0,18.683332,18,1,217.0,43.0,40.0,0.19815668,0.9302326
CA5927,2025-05-23 03:00:00,0,41.066666,3,4,398.0,65.0,39.0,0.16331658,0.6
CA65789,2025-01-03 22:00:00,0,0.6666667,22,4,0.0,0.0,0.0,0.0,0.0
PE3788,2025-02-26 01:00:00,0,60.0,1,2,0.0,0.0,0.0,0.0,0.0
CA65933,2025-04-21 20:38:37,0,1.2666667,20,0,761.0,117.0,54.0,0.15374507,0.46153846
PE3796,2025-01-31 18:00:00,0,30.033333,18,4,0.0,0.0,0.0,0.0,0.0
CA65792,2025-06-24 08:45:12,0,2.85,8,1,300.0,86.0,37.0,0.28666666,0.43023255
CA65933,2025-04-17 20:16:22,0,43.633335,20,3,251.0,99.0,46.0,0.39442232,0.46464646
CA65923,2025-04-20 11:00:00,0,60.0,11,6,1465.0,141.0,44.0,0.096245736,0.31205675
CA5927,2025-02-16 08:17:07,0,42.883335,8,6,0.0,0.0,0.0,0.0,0.0
PE3799,2025-01-05 08:00:00,0,34.05,8,6,0.0,0.0,0.0,0.0,0.0
CA65789,2025-06-27 09:11:13,0,0.8,9,4,314.0,54.0,27.0,0.17197452,0.5
CA65928,2025-03-27 11:10:52,0,6.15,11,3,0.0,0.0,0.0,0.0,0.0
CA65923,2025-04-26 02:00:00,0,60.0,2,5,295.0,57.0,33.0,0.19322033,0.57894737
CA5926,2025-02-18 16:00:00,0,60.0,16,1,0.0,0.0,0.0,0.0,0.0
CA65927,2025-04-19 23:00:00,0,38.016666,23,5,243.0,39.0,24.0,0.16049382,0.61538464
CA65937,2025-04-12 04:40:00,0,13.516666,4,5,672.0,323.0,81.0,0.48065478,0.250774
CA65930,2025-03-26 18:48:12,0,11.8,18,2,0.0,0.0,0.0,0.0,0.0
